6.1,3.0,5.4,2.1,Red 
6.3,3.0,5.2,2.0,Red  
6.5,3.0,5.0,1.9,Red  
6.7,3.0,5.7,2.5,Red  
6.7,3.0,5.2,2.3,Red  
6.2,3.4,5.4,2.3,Red  
5.9,3.0,5.1,1.8,Red  
6.7,3.1,5.6,2.4,Red  
6.8,3.2,5.9,2.3,Red  
5.8,2.7,5.1,1.9,Red  
6.9,3.1,5.1,2.3,Red  
6.9,3.1,5.4,2.1,Red  
6.3,3.4,5.6,2.4,Red  
6.4,3.1,5.5,1.8,Red  
6.7,3.3,5.7,2.5,Red  
6.0,3.0,4.8,1.8,Red  
6.9,3.1,5.7,2.3,Red  
6.3,2.5,5.0,1.9,Red  
6.5,3.0,5.8,2.2,Red  
6.3,3.3,6.0,2.5,Red  
6.2,2.9,4.3,1.3,Red  
6.0,2.7,5.1,1.6,Red  
5.8,2.6,4.0,1.2,Red 
6.4,2.8,5.6,2.1,Red 
5.8,2.8,5.1,2.4,Red 
5.7,2.5,5.0,2.0,Red 
5.7,3.0,4.2,1.2,Red 
5.0,2.3,3.3,1.0,Red 
5.5,2.4,3.8,1.1,Red 
5.7,2.6,3.5,1.0,Red 
6.0,2.2,5.0,1.5,Red
7.7,3.0,6.1,2.3,Red  
6.1,2.6,5.6,1.4,Red  
6.3,2.8,5.1,1.5,Red 
6.4,2.8,5.6,2.2,Red 
7.9,3.8,6.4,2.0,Red  
5.1,2.7,3.5,1.4,Red
6.4,3.0,5.5,1.8,Red
5.0,3.0,4.5,1.6,Red
6.7,3.1,5.6,2.4,Red
6.4,3.1,5.5,1.8,Red
6.8,3.0,5.5,2.1,Red
6.5,3.0,5.5,1.8,Red
6.3,3.3,6.0,2.5,Red
7.2,3.6,6.1,2.5,Red
6.7,3.0,5.2,2.3,Red
6.3,3.4,5.6,2.4,Red
5.1,3.5,1.4,0.2,Red
5.8,2.7,5.1,1.9,Red
6.7,3.3,5.7,2.5,Red
6.5,3.0,5.8,2.2,Green
6.5,3.2,5.1,2.0,Green
5.6,3.0,4.1,1.3,Green
5.0,3.5,1.6,0.6,Green
6.9,3.1,4.9,1.5,Green
5.7,2.5,5.0,2.0,Green
7.7,3.0,6.1,2.3,Green
6.7,3.1,4.7,1.5,Green
6.2,2.8,4.8,1.8,Green
6.0,3.0,4.8,1.8,Green
6.4,2.7,5.3,1.9,Green
5.7,2.6,3.5,1.0,Green
6.4,2.8,5.6,2.1,Green
5.1,2.5,3.0,1.1,Green
5.6,2.8,4.9,2.0,Green
6.3,2.8,5.1,1.5,Green
6.0,2.2,5.0,1.5,Green
6.7,3.3,5.7,2.1,Green
6.3,2.9,5.6,1.8,Green
5.1,3.8,1.9,0.4,Green
6.7,3.3,5.7,2.1,Green
7.1,3.0,5.9,2.1,Green
6.2,3.4,5.4,2.3,Green
3.4,1.5,5.1,6.7,Green
2.7,2.8,5.1,1.9,Green
4.7,3.1,5.7,2.1,Green
2.5,3.0,5.0,1.9,Green
3.3,2.5,5.6,2.4,Green
3.1,3.1,5.5,1.8,Green
3.1,3.0,5.2,2.3,Green
2.5,3.4,5.4,2.3,Green
3.8,3.0,6.4,2.0,Green
3.3,2.8,5.1,1.5,Green
2.6,3.0,4.8,1.8,Green
2.6,2.8,5.6,1.4,Green
3.1,3.4,5.6,2.4,Green
2.8,3.0,4.9,1.8,Green
3.0,3.3,5.7,2.5,Green
3.1,3.2,5.9,2.3,Green
3.1,3.1,6.1,2.3,Green
2.6,3.1,5.6,2.4,Green
3.1,2.7,6.0,2.3,Green
3.0,2.9,5.1,1.8,Green
3.0,3.0,4.8,1.8,Green
3.0,3.1,5.4,2.1,Green
3.4,2.8,5.6,2.1,Green
3.0,2.7,5.9,2.1,Green
2.8,2.7,6.1,2.4,Green
2.8,2.8,5.1,2.4,Green
3.2,2.5,5.0,1.9,Green
3.4,3.3,5.6,2.4,Pink
3.0,3.0,6.1,2.3,Pink
3.0,2.8,5.6,2.2,Pink
2.8,2.9,6.4,2.2,Pink
2.8,3.8,6.4,2.0,Pink
3.8,3.2,5.9,2.3,Pink
3.1,3.1,5.5,2.4,Pink
3.1,2.6,5.6,1.4,Pink
3.4,2.8,6.1,1.9,Pink
3.4,1.5,5.1,6.7,Pink
2.7,2.8,5.1,1.9,Pink
4.7,3.1,5.7,2.1,Pink
2.5,3.0,5.0,1.9,Pink
3.3,2.5,5.6,2.4,Pink
3.1,3.1,5.5,1.8,Pink
3.1,3.0,5.2,2.3,Pink
2.5,3.4,5.4,2.3,Pink
3.8,3.0,6.4,2.0,Pink
3.3,2.8,5.1,1.5,Pink
2.6,3.0,4.8,1.8,Pink
2.6,2.8,5.6,1.4,Pink
3.1,3.4,5.6,2.4,Pink
2.8,3.0,4.9,1.8,Pink
3.0,3.3,5.7,2.5,Pink
3.1,3.2,5.9,2.3,Pink
3.1,3.1,6.1,2.3,Pink
2.6,3.1,5.6,2.4,Pink
3.1,2.7,6.0,2.3,Pink
3.0,2.9,5.1,1.8,Pink
3.0,3.0,4.8,1.8,Pink
3.0,3.1,5.4,2.1,Pink
3.4,2.8,5.6,2.1,Pink
3.0,2.7,5.9,2.1,Pink
